date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:12:19	125008/125008	---MCZ	200	added ('OK')	text/html	date:Wed,%2028%20Jul%202021%2004:13:46%20GMT	https://template.hasthemes.com/allup/allup/single-product-slider.html	C:/Users/nmammadov/Desktop/Allup%20template/template.hasthemes.com/allup/allup/single-product-slider.html	(from https://template.hasthemes.com/allup/allup/index.html)
21:12:19	125063/125063	---MCZ	200	added ('OK')	text/html	date:Wed,%2028%20Jul%202021%2004:13:43%20GMT	https://template.hasthemes.com/allup/allup/single-product-gallery-left.html	C:/Users/nmammadov/Desktop/Allup%20template/template.hasthemes.com/allup/allup/single-product-gallery-left.html	(from https://template.hasthemes.com/allup/allup/index.html)
21:12:19	124686/124686	---MCZ	200	added ('OK')	text/html	date:Wed,%2028%20Jul%202021%2004:13:44%20GMT	https://template.hasthemes.com/allup/allup/single-product-gallery-right.html	C:/Users/nmammadov/Desktop/Allup%20template/template.hasthemes.com/allup/allup/single-product-gallery-right.html	(from https://template.hasthemes.com/allup/allup/index.html)
21:12:20	124651/124651	---MCZ	200	added ('OK')	text/html	date:Wed,%2028%20Jul%202021%2004:13:49%20GMT	https://template.hasthemes.com/allup/allup/single-product-sticky-left.html	C:/Users/nmammadov/Desktop/Allup%20template/template.hasthemes.com/allup/allup/single-product-sticky-left.html	(from https://template.hasthemes.com/allup/allup/index.html)
21:12:20	124669/124669	---MCZ	200	added ('OK')	text/html	date:Wed,%2028%20Jul%202021%2004:13:49%20GMT	https://template.hasthemes.com/allup/allup/single-product-sticky-right.html	C:/Users/nmammadov/Desktop/Allup%20template/template.hasthemes.com/allup/allup/single-product-sticky-right.html	(from https://template.hasthemes.com/allup/allup/index.html)
21:12:20	20935/20935	---M--	200	added ('OK')	image/jpeg	date:Mon,%2003%20Jan%202022%2017:12:43%20GMT	https://template.hasthemes.com/allup/allup/assets/images/custom_banner.jpg	C:/Users/nmammadov/Desktop/Allup%20template/template.hasthemes.com/allup/allup/assets/images/custom_banner.jpg	(from https://template.hasthemes.com/allup/allup/index.html)
21:12:20	97743/97743	---MCZ	200	added ('OK')	text/html	date:Wed,%2028%20Jul%202021%2004:13:07%20GMT	https://template.hasthemes.com/allup/allup/blog-grid-left-sidebar.html	C:/Users/nmammadov/Desktop/Allup%20template/template.hasthemes.com/allup/allup/blog-grid-left-sidebar.html	(from https://template.hasthemes.com/allup/allup/index.html)
21:12:21	97597/97597	---MCZ	200	added ('OK')	text/html	date:Wed,%2028%20Jul%202021%2004:13:07%20GMT	https://template.hasthemes.com/allup/allup/blog-grid-right-sidebar.html	C:/Users/nmammadov/Desktop/Allup%20template/template.hasthemes.com/allup/allup/blog-grid-right-sidebar.html	(from https://template.hasthemes.com/allup/allup/index.html)
21:12:21	97221/97221	---MCZ	200	added ('OK')	text/html	date:Wed,%2028%20Jul%202021%2004:13:09%20GMT	https://template.hasthemes.com/allup/allup/blog-list-left-sidebar.html	C:/Users/nmammadov/Desktop/Allup%20template/template.hasthemes.com/allup/allup/blog-list-left-sidebar.html	(from https://template.hasthemes.com/allup/allup/index.html)
21:12:21	97181/97181	---MCZ	200	added ('OK')	text/html	date:Wed,%2028%20Jul%202021%2004:13:09%20GMT	https://template.hasthemes.com/allup/allup/blog-list-right-sidebar.html	C:/Users/nmammadov/Desktop/Allup%20template/template.hasthemes.com/allup/allup/blog-list-right-sidebar.html	(from https://template.hasthemes.com/allup/allup/index.html)
21:12:22	101567/101567	---MCZ	200	added ('OK')	text/html	date:Wed,%2028%20Jul%202021%2004:13:11%20GMT	https://template.hasthemes.com/allup/allup/blog-single-left-sidebar.html	C:/Users/nmammadov/Desktop/Allup%20template/template.hasthemes.com/allup/allup/blog-single-left-sidebar.html	(from https://template.hasthemes.com/allup/allup/index.html)
21:12:22	101530/101530	---MCZ	200	added ('OK')	text/html	date:Wed,%2028%20Jul%202021%2004:13:15%20GMT	https://template.hasthemes.com/allup/allup/blog-single-right-sidebar.html	C:/Users/nmammadov/Desktop/Allup%20template/template.hasthemes.com/allup/allup/blog-single-right-sidebar.html	(from https://template.hasthemes.com/allup/allup/index.html)
21:12:22	85765/85765	---MCZ	200	added ('OK')	text/html	date:Wed,%2028%20Jul%202021%2004:13:18%20GMT	https://template.hasthemes.com/allup/allup/contact.html	C:/Users/nmammadov/Desktop/Allup%20template/template.hasthemes.com/allup/allup/contact.html	(from https://template.hasthemes.com/allup/allup/index.html)
21:12:23	55930/55930	---M--	200	added ('OK')	image/jpeg	date:Mon,%2003%20Jan%202022%2017:12:46%20GMT	https://template.hasthemes.com/allup/allup/assets/images/slider-1.jpg	C:/Users/nmammadov/Desktop/Allup%20template/template.hasthemes.com/allup/allup/assets/images/slider-1.jpg	(from https://template.hasthemes.com/allup/allup/index.html)
21:12:23	72525/72525	---M--	200	added ('OK')	image/jpeg	date:Mon,%2003%20Jan%202022%2017:12:46%20GMT	https://template.hasthemes.com/allup/allup/assets/images/slider-2.jpg	C:/Users/nmammadov/Desktop/Allup%20template/template.hasthemes.com/allup/allup/assets/images/slider-2.jpg	(from https://template.hasthemes.com/allup/allup/index.html)
21:12:23	39506/39506	---MC-	200	added ('OK')	image/png	date:Mon,%2003%20Jan%202022%2017:12:47%20GMT	https://template.hasthemes.com/allup/allup/assets/images/banner-1.png	C:/Users/nmammadov/Desktop/Allup%20template/template.hasthemes.com/allup/allup/assets/images/banner-1.png	(from https://template.hasthemes.com/allup/allup/index.html)
21:12:24	46386/46386	---MC-	200	added ('OK')	image/png	date:Mon,%2003%20Jan%202022%2017:12:47%20GMT	https://template.hasthemes.com/allup/allup/assets/images/banner-2.png	C:/Users/nmammadov/Desktop/Allup%20template/template.hasthemes.com/allup/allup/assets/images/banner-2.png	(from https://template.hasthemes.com/allup/allup/index.html)
21:12:24	2918/2918	---M--	200	added ('OK')	image/jpeg	date:Mon,%2003%20Jan%202022%2017:12:48%20GMT	https://template.hasthemes.com/allup/allup/assets/images/category-1.jpg	C:/Users/nmammadov/Desktop/Allup%20template/template.hasthemes.com/allup/allup/assets/images/category-1.jpg	(from https://template.hasthemes.com/allup/allup/index.html)
21:12:24	3570/3570	---M--	200	added ('OK')	image/jpeg	date:Mon,%2003%20Jan%202022%2017:12:48%20GMT	https://template.hasthemes.com/allup/allup/assets/images/category-2.jpg	C:/Users/nmammadov/Desktop/Allup%20template/template.hasthemes.com/allup/allup/assets/images/category-2.jpg	(from https://template.hasthemes.com/allup/allup/index.html)
21:12:25	1778/1778	---M--	200	added ('OK')	image/jpeg	date:Mon,%2003%20Jan%202022%2017:12:48%20GMT	https://template.hasthemes.com/allup/allup/assets/images/category-3.jpg	C:/Users/nmammadov/Desktop/Allup%20template/template.hasthemes.com/allup/allup/assets/images/category-3.jpg	(from https://template.hasthemes.com/allup/allup/index.html)
21:12:25	1796/1796	---M--	200	added ('OK')	image/jpeg	date:Mon,%2003%20Jan%202022%2017:12:49%20GMT	https://template.hasthemes.com/allup/allup/assets/images/category-4.jpg	C:/Users/nmammadov/Desktop/Allup%20template/template.hasthemes.com/allup/allup/assets/images/category-4.jpg	(from https://template.hasthemes.com/allup/allup/index.html)
21:12:25	1909/1909	---M--	200	added ('OK')	image/jpeg	date:Mon,%2003%20Jan%202022%2017:12:49%20GMT	https://template.hasthemes.com/allup/allup/assets/images/category-5.jpg	C:/Users/nmammadov/Desktop/Allup%20template/template.hasthemes.com/allup/allup/assets/images/category-5.jpg	(from https://template.hasthemes.com/allup/allup/index.html)
21:12:26	2284/2284	---M--	200	added ('OK')	image/jpeg	date:Mon,%2003%20Jan%202022%2017:12:49%20GMT	https://template.hasthemes.com/allup/allup/assets/images/category-6.jpg	C:/Users/nmammadov/Desktop/Allup%20template/template.hasthemes.com/allup/allup/assets/images/category-6.jpg	(from https://template.hasthemes.com/allup/allup/index.html)
21:12:26	2417/2417	---M--	200	added ('OK')	image/jpeg	date:Mon,%2003%20Jan%202022%2017:12:49%20GMT	https://template.hasthemes.com/allup/allup/assets/images/category-7.jpg	C:/Users/nmammadov/Desktop/Allup%20template/template.hasthemes.com/allup/allup/assets/images/category-7.jpg	(from https://template.hasthemes.com/allup/allup/index.html)
21:12:26	2729/2729	---M--	200	added ('OK')	image/jpeg	date:Mon,%2003%20Jan%202022%2017:12:50%20GMT	https://template.hasthemes.com/allup/allup/assets/images/category-8.jpg	C:/Users/nmammadov/Desktop/Allup%20template/template.hasthemes.com/allup/allup/assets/images/category-8.jpg	(from https://template.hasthemes.com/allup/allup/index.html)
21:12:26	2160/2160	---M--	200	added ('OK')	image/jpeg	date:Mon,%2003%20Jan%202022%2017:12:50%20GMT	https://template.hasthemes.com/allup/allup/assets/images/category-9.jpg	C:/Users/nmammadov/Desktop/Allup%20template/template.hasthemes.com/allup/allup/assets/images/category-9.jpg	(from https://template.hasthemes.com/allup/allup/index.html)
21:12:28	2003/2003	---M--	200	added ('OK')	image/jpeg	date:Mon,%2003%20Jan%202022%2017:12:50%20GMT	https://template.hasthemes.com/allup/allup/assets/images/category-10.jpg	C:/Users/nmammadov/Desktop/Allup%20template/template.hasthemes.com/allup/allup/assets/images/category-10.jpg	(from https://template.hasthemes.com/allup/allup/index.html)
21:12:29	2637/2637	---M--	200	added ('OK')	image/jpeg	date:Mon,%2003%20Jan%202022%2017:12:52%20GMT	https://template.hasthemes.com/allup/allup/assets/images/category-11.jpg	C:/Users/nmammadov/Desktop/Allup%20template/template.hasthemes.com/allup/allup/assets/images/category-11.jpg	(from https://template.hasthemes.com/allup/allup/index.html)
21:12:29	1870/1870	---M--	200	added ('OK')	image/jpeg	date:Mon,%2003%20Jan%202022%2017:12:52%20GMT	https://template.hasthemes.com/allup/allup/assets/images/category-12.jpg	C:/Users/nmammadov/Desktop/Allup%20template/template.hasthemes.com/allup/allup/assets/images/category-12.jpg	(from https://template.hasthemes.com/allup/allup/index.html)
21:12:30	9816/9816	---M--	200	added ('OK')	image/jpeg	date:Mon,%2003%20Jan%202022%2017:12:53%20GMT	https://template.hasthemes.com/allup/allup/assets/images/product/product-1.jpg	C:/Users/nmammadov/Desktop/Allup%20template/template.hasthemes.com/allup/allup/assets/images/product/product-1.jpg	(from https://template.hasthemes.com/allup/allup/index.html)
21:12:30	12839/12839	---M--	200	added ('OK')	image/jpeg	date:Mon,%2003%20Jan%202022%2017:12:54%20GMT	https://template.hasthemes.com/allup/allup/assets/images/product/product-2.jpg	C:/Users/nmammadov/Desktop/Allup%20template/template.hasthemes.com/allup/allup/assets/images/product/product-2.jpg	(from https://template.hasthemes.com/allup/allup/index.html)
21:12:31	7749/7749	---M--	200	added ('OK')	image/jpeg	date:Mon,%2003%20Jan%202022%2017:12:54%20GMT	https://template.hasthemes.com/allup/allup/assets/images/product/product-10.jpg	C:/Users/nmammadov/Desktop/Allup%20template/template.hasthemes.com/allup/allup/assets/images/product/product-10.jpg	(from https://template.hasthemes.com/allup/allup/index.html)
21:12:32	8275/8275	---M--	200	added ('OK')	image/jpeg	date:Mon,%2003%20Jan%202022%2017:12:55%20GMT	https://template.hasthemes.com/allup/allup/assets/images/product/product-11.jpg	C:/Users/nmammadov/Desktop/Allup%20template/template.hasthemes.com/allup/allup/assets/images/product/product-11.jpg	(from https://template.hasthemes.com/allup/allup/index.html)
21:12:33	10449/10449	---M--	200	added ('OK')	image/jpeg	date:Mon,%2003%20Jan%202022%2017:12:56%20GMT	https://template.hasthemes.com/allup/allup/assets/images/product/product-3.jpg	C:/Users/nmammadov/Desktop/Allup%20template/template.hasthemes.com/allup/allup/assets/images/product/product-3.jpg	(from https://template.hasthemes.com/allup/allup/index.html)
21:12:33	10442/10442	---M--	200	added ('OK')	image/jpeg	date:Mon,%2003%20Jan%202022%2017:12:57%20GMT	https://template.hasthemes.com/allup/allup/assets/images/product/product-4.jpg	C:/Users/nmammadov/Desktop/Allup%20template/template.hasthemes.com/allup/allup/assets/images/product/product-4.jpg	(from https://template.hasthemes.com/allup/allup/index.html)
21:12:34	13527/13527	---M--	200	added ('OK')	image/jpeg	date:Mon,%2003%20Jan%202022%2017:12:58%20GMT	https://template.hasthemes.com/allup/allup/assets/images/product/product-5.jpg	C:/Users/nmammadov/Desktop/Allup%20template/template.hasthemes.com/allup/allup/assets/images/product/product-5.jpg	(from https://template.hasthemes.com/allup/allup/index.html)
21:12:35	9860/9860	---M--	200	added ('OK')	image/jpeg	date:Mon,%2003%20Jan%202022%2017:12:57%20GMT	https://template.hasthemes.com/allup/allup/assets/images/product/product-12.jpg	C:/Users/nmammadov/Desktop/Allup%20template/template.hasthemes.com/allup/allup/assets/images/product/product-12.jpg	(from https://template.hasthemes.com/allup/allup/index.html)
21:12:35	9814/9814	---M--	200	added ('OK')	image/jpeg	date:Mon,%2003%20Jan%202022%2017:12:58%20GMT	https://template.hasthemes.com/allup/allup/assets/images/product/product-16.jpg	C:/Users/nmammadov/Desktop/Allup%20template/template.hasthemes.com/allup/allup/assets/images/product/product-16.jpg	(from https://template.hasthemes.com/allup/allup/index.html)
21:12:37	7772/7772	---M--	200	added ('OK')	image/jpeg	date:Mon,%2003%20Jan%202022%2017:13:00%20GMT	https://template.hasthemes.com/allup/allup/assets/images/product/product-6.jpg	C:/Users/nmammadov/Desktop/Allup%20template/template.hasthemes.com/allup/allup/assets/images/product/product-6.jpg	(from https://template.hasthemes.com/allup/allup/index.html)
21:12:38	18353/18353	---M--	200	added ('OK')	image/jpeg	date:Mon,%2003%20Jan%202022%2017:13:01%20GMT	https://template.hasthemes.com/allup/allup/assets/images/product/product-7.jpg	C:/Users/nmammadov/Desktop/Allup%20template/template.hasthemes.com/allup/allup/assets/images/product/product-7.jpg	(from https://template.hasthemes.com/allup/allup/index.html)
21:12:38	6509/6509	---M--	200	added ('OK')	image/jpeg	date:Mon,%2003%20Jan%202022%2017:13:02%20GMT	https://template.hasthemes.com/allup/allup/assets/images/product/product-8.jpg	C:/Users/nmammadov/Desktop/Allup%20template/template.hasthemes.com/allup/allup/assets/images/product/product-8.jpg	(from https://template.hasthemes.com/allup/allup/index.html)
21:12:38	8055/8055	---M--	200	added ('OK')	image/jpeg	date:Mon,%2003%20Jan%202022%2017:13:01%20GMT	https://template.hasthemes.com/allup/allup/assets/images/product/product-13.jpg	C:/Users/nmammadov/Desktop/Allup%20template/template.hasthemes.com/allup/allup/assets/images/product/product-13.jpg	(from https://template.hasthemes.com/allup/allup/index.html)
21:12:39	6359/6359	---M--	200	added ('OK')	image/jpeg	date:Mon,%2003%20Jan%202022%2017:13:02%20GMT	https://template.hasthemes.com/allup/allup/assets/images/product/product-14.jpg	C:/Users/nmammadov/Desktop/Allup%20template/template.hasthemes.com/allup/allup/assets/images/product/product-14.jpg	(from https://template.hasthemes.com/allup/allup/index.html)
21:12:39	11217/11217	---M--	200	added ('OK')	image/jpeg	date:Mon,%2003%20Jan%202022%2017:13:03%20GMT	https://template.hasthemes.com/allup/allup/assets/images/product/product-15.jpg	C:/Users/nmammadov/Desktop/Allup%20template/template.hasthemes.com/allup/allup/assets/images/product/product-15.jpg	(from https://template.hasthemes.com/allup/allup/index.html)
21:12:40	13095/13095	---M--	200	added ('OK')	image/jpeg	date:Mon,%2003%20Jan%202022%2017:13:03%20GMT	https://template.hasthemes.com/allup/allup/assets/images/product/product-9.jpg	C:/Users/nmammadov/Desktop/Allup%20template/template.hasthemes.com/allup/allup/assets/images/product/product-9.jpg	(from https://template.hasthemes.com/allup/allup/index.html)
21:12:40	15970/15970	---M--	200	added ('OK')	image/jpeg	date:Mon,%2003%20Jan%202022%2017:13:04%20GMT	https://template.hasthemes.com/allup/allup/assets/images/special-products/special-products-1.jpg	C:/Users/nmammadov/Desktop/Allup%20template/template.hasthemes.com/allup/allup/assets/images/special-products/special-products-1.jpg	(from https://template.hasthemes.com/allup/allup/index.html)
21:12:41	15364/15364	---M--	200	added ('OK')	image/jpeg	date:Mon,%2003%20Jan%202022%2017:13:04%20GMT	https://template.hasthemes.com/allup/allup/assets/images/special-products/special-products-2.jpg	C:/Users/nmammadov/Desktop/Allup%20template/template.hasthemes.com/allup/allup/assets/images/special-products/special-products-2.jpg	(from https://template.hasthemes.com/allup/allup/index.html)
21:12:42	15981/15981	---M--	200	added ('OK')	image/jpeg	date:Mon,%2003%20Jan%202022%2017:13:05%20GMT	https://template.hasthemes.com/allup/allup/assets/images/special-products/special-products-3.jpg	C:/Users/nmammadov/Desktop/Allup%20template/template.hasthemes.com/allup/allup/assets/images/special-products/special-products-3.jpg	(from https://template.hasthemes.com/allup/allup/index.html)
21:12:43	19272/19272	---M--	200	added ('OK')	image/jpeg	date:Mon,%2003%20Jan%202022%2017:13:06%20GMT	https://template.hasthemes.com/allup/allup/assets/images/special-products/special-products-4.jpg	C:/Users/nmammadov/Desktop/Allup%20template/template.hasthemes.com/allup/allup/assets/images/special-products/special-products-4.jpg	(from https://template.hasthemes.com/allup/allup/index.html)
21:12:43	16039/16039	---M--	200	added ('OK')	image/jpeg	date:Mon,%2003%20Jan%202022%2017:13:06%20GMT	https://template.hasthemes.com/allup/allup/assets/images/special-products/special-products-5.jpg	C:/Users/nmammadov/Desktop/Allup%20template/template.hasthemes.com/allup/allup/assets/images/special-products/special-products-5.jpg	(from https://template.hasthemes.com/allup/allup/index.html)
21:12:43	15190/15190	---M--	200	added ('OK')	image/jpeg	date:Mon,%2003%20Jan%202022%2017:13:07%20GMT	https://template.hasthemes.com/allup/allup/assets/images/special-products/special-products-6.jpg	C:/Users/nmammadov/Desktop/Allup%20template/template.hasthemes.com/allup/allup/assets/images/special-products/special-products-6.jpg	(from https://template.hasthemes.com/allup/allup/index.html)
